runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
set_recall            	187186341	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186341	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186366	5	5	5	5	5	5
num_rel               	187186366	1	1	1	1	1	1
num_rel_ret           	187186366	1	1	1	1	1	1
recip_rank            	187186366	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186366	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186366	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186366	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186368	5	5	5	5	5	5
num_rel               	187186368	1	1	1	1	1	1
num_rel_ret           	187186368	1	1	1	1	1	1
recip_rank            	187186368	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186368	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186368	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186368	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186372	5	5	5	5	5	5
num_rel               	187186372	1	1	1	1	1	1
num_rel_ret           	187186372	1	1	1	1	1	1
recip_rank            	187186372	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186372	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186372	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186372	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186401	5	5	5	5	5	5
num_rel               	187186401	1	1	1	1	1	1
num_rel_ret           	187186401	1	1	1	1	1	1
recip_rank            	187186401	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186401	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186401	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186401	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186403	5	5	5	5	5	5
num_rel               	187186403	1	1	1	1	1	1
num_rel_ret           	187186403	1	0	1	1	1	1
recip_rank            	187186403	1.0000	0.0000	0.3333	1.0000	0.5000	1.0000
set_P                 	187186403	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186403	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186403	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	187186428	5	5	5	5	5	5
num_rel               	187186428	1	1	1	1	1	1
num_rel_ret           	187186428	1	0	1	1	1	1
recip_rank            	187186428	1.0000	0.0000	0.5000	1.0000	0.5000	1.0000
set_P                 	187186428	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186428	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186428	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	187186464	5	5	5	5	5	5
num_rel               	187186464	1	1	1	1	1	1
num_rel_ret           	187186464	1	1	1	1	1	1
recip_rank            	187186464	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186464	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186464	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186464	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186491	5	5	5	5	5	5
num_rel               	187186491	1	1	1	1	1	1
num_rel_ret           	187186491	1	1	1	1	1	1
recip_rank            	187186491	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186491	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186491	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186491	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186493	5	5	5	5	5	5
num_rel               	187186493	1	1	1	1	1	1
num_rel_ret           	187186493	1	1	1	1	1	1
recip_rank            	187186493	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	187186493	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186493	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186493	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186497	5	5	5	5	5	5
num_rel               	187186497	1	1	1	1	1	1
num_rel_ret           	187186497	1	1	1	1	1	1
recip_rank            	187186497	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	187186497	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186497	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186497	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	565507562	5	5	5	5	5	5
num_rel               	565507562	1	1	1	1	1	1
num_rel_ret           	565507562	1	1	1	1	1	1
recip_rank            	565507562	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	565507562	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	565507562	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	565507562	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	717009941	5	5	5	5	5	5
num_rel               	717009941	1	1	1	1	1	1
num_rel_ret           	717009941	1	1	1	1	1	1
recip_rank            	717009941	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	717009941	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	717009941	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	717009941	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	717009943	5	5	5	5	5	5
num_rel               	717009943	1	1	1	1	1	1
num_rel_ret           	717009943	1	0	1	1	1	1
recip_rank            	717009943	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	717009943	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	717009943	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	717009943	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	717009945	5	5	5	5	5	5
num_rel               	717009945	1	1	1	1	1	1
num_rel_ret           	717009945	1	0	1	1	1	1
recip_rank            	717009945	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	717009945	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	717009945	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	717009945	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	717009947	5	5	5	5	5	5
num_rel               	717009947	1	1	1	1	1	1
num_rel_ret           	717009947	1	1	1	1	1	1
recip_rank            	717009947	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	717009947	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	717009947	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
