runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
set_P                 	1560839038	0.4500	0.1000	0.3000	0.3500	0.3000	0.2500
set_recall            	1560839038	0.9000	0.2000	0.6000	0.7000	0.6000	0.5000
set_F                 	1560839038	0.6000	0.1333	0.4000	0.4667	0.4000	0.3333
num_ret               	1568257892	20	20	20	20	20	20
num_rel               	1568257892	10	10	10	10	10	10
num_rel_ret           	1568257892	6	2	4	4	6	4
map                   	1568257892	0.4649	0.2000	0.3071	0.4000	0.3672	0.4000
ndcg_cut_01            	1568257892	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1568257892	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_03            	1568257892	0.8827	0.7654	0.7654	0.8827	0.7654	0.8827
ndcg_cut_04            	1568257892	0.8934	0.6951	0.6951	0.8934	0.6951	0.8934
ndcg_cut_05            	1568257892	0.8254	0.6422	0.6422	0.8254	0.6422	0.8254
ndcg_cut_06            	1568257892	0.7713	0.6001	0.6656	0.7713	0.6001	0.7713
ndcg_cut_07            	1568257892	0.7267	0.5654	0.6849	0.7267	0.5654	0.7267
ndcg_cut_08            	1568257892	0.6891	0.5361	0.6494	0.6891	0.5880	0.6891
ndcg_cut_09            	1568257892	0.6566	0.5108	0.6188	0.6566	0.6074	0.6566
ndcg_cut_10           	1568257892	0.6281	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_11           	1568257892	0.6281	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_12           	1568257892	0.6281	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_13           	1568257892	0.6281	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_14           	1568257892	0.6281	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_15           	1568257892	0.6656	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_16           	1568257892	0.6656	0.4887	0.5920	0.6281	0.6244	0.6281
ndcg_cut_17           	1568257892	0.6656	0.4887	0.5920	0.6281	0.6603	0.6281
ndcg_cut_18           	1568257892	0.6656	0.4887	0.5920	0.6281	0.6603	0.6281
ndcg_cut_19           	1568257892	0.7003	0.4887	0.5920	0.6281	0.6603	0.6281
ndcg_cut_20           	1568257892	0.7003	0.4887	0.5920	0.6281	0.6603	0.6281
set_P                 	1568257892	0.3000	0.1000	0.2000	0.2000	0.3000	0.2000
set_recall            	1568257892	0.6000	0.2000	0.4000	0.4000	0.6000	0.4000
set_F                 	1568257892	0.4000	0.1333	0.2667	0.2667	0.4000	0.2667
num_ret               	1668711967	20	20	20	20	20	20
num_rel               	1668711967	18	18	18	18	18	18
num_rel_ret           	1668711967	9	3	4	5	3	9
map                   	1668711967	0.3638	0.0921	0.1449	0.1784	0.0777	0.3809
ndcg_cut_01            	1668711967	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1668711967	0.8066	0.6131	0.8066	0.6131	0.6131	0.8066
ndcg_cut_03            	1668711967	0.7346	0.4693	0.6173	0.5866	0.4693	0.7346
ndcg_cut_04            	1668711967	0.6672	0.5180	0.5607	0.5328	0.4262	0.6672
ndcg_cut_05            	1668711967	0.6926	0.4785	0.5180	0.5683	0.3937	0.6926
ndcg_cut_06            	1668711967	0.6472	0.4472	0.4840	0.5966	0.3679	0.6472
ndcg_cut_07            	1668711967	0.6676	0.4213	0.4561	0.5622	0.3467	0.6098
ndcg_cut_08            	1668711967	0.6329	0.3995	0.4324	0.5330	0.3287	0.6300
ndcg_cut_09            	1668711967	0.6031	0.3807	0.4120	0.5079	0.3604	0.6475
ndcg_cut_10           	1668711967	0.5770	0.3642	0.4375	0.4859	0.3447	0.6627
ndcg_cut_11           	1668711967	0.5538	0.3496	0.4199	0.4664	0.3309	0.6361
ndcg_cut_12           	1668711967	0.5705	0.3365	0.4042	0.4489	0.3185	0.6123
ndcg_cut_13           	1668711967	0.5505	0.3247	0.4251	0.4332	0.3074	0.6259
ndcg_cut_14           	1668711967	0.5654	0.3139	0.4111	0.4189	0.2972	0.6052
ndcg_cut_15           	1668711967	0.5790	0.3041	0.3982	0.4058	0.2879	0.5863
ndcg_cut_16           	1668711967	0.5618	0.2951	0.3864	0.3937	0.2794	0.5689
ndcg_cut_17           	1668711967	0.5459	0.2867	0.3755	0.3826	0.3280	0.5528
ndcg_cut_18           	1668711967	0.5582	0.2790	0.3653	0.3993	0.3192	0.5379
ndcg_cut_19           	1668711967	0.5582	0.3056	0.3653	0.3993	0.3192	0.5379
ndcg_cut_20           	1668711967	0.5582	0.3056	0.3653	0.3993	0.3192	0.5640
