runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
num_rel_ret           	1422967973	1	1	1	1	0	1
recip_rank            	1422967973	1.0000	0.2500	1.0000	1.0000	0.0000	1.0000
set_P                 	1422967973	0.2000	0.2000	0.2000	0.2000	0.0000	0.2000
set_recall            	1422967973	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	1422967973	0.3333	0.3333	0.3333	0.3333	0.0000	0.3333
num_ret               	1632447411	5	5	5	5	5	5
num_rel               	1632447411	1	1	1	1	1	1
num_rel_ret           	1632447411	1	1	1	1	1	1
recip_rank            	1632447411	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	1632447411	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1632447411	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1632447411	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1632447415	5	5	5	5	5	5
num_rel               	1632447415	1	1	1	1	1	1
num_rel_ret           	1632447415	1	1	1	1	1	1
recip_rank            	1632447415	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	1632447415	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1632447415	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1632447415	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1814089341	5	5	5	5	5	5
num_rel               	1814089341	1	1	1	1	1	1
num_rel_ret           	1814089341	1	1	1	1	1	1
recip_rank            	1814089341	0.5000	0.3333	0.5000	1.0000	0.3333	0.5000
set_P                 	1814089341	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1814089341	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1814089341	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1814089344	5	5	5	5	5	5
num_rel               	1814089344	1	1	1	1	1	1
num_rel_ret           	1814089344	1	1	1	1	1	1
recip_rank            	1814089344	1.0000	0.3333	0.5000	1.0000	0.3333	0.5000
set_P                 	1814089344	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1814089344	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1814089344	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	188402870	5	5	5	5	5	5
num_rel               	188402870	1	1	1	1	1	1
num_rel_ret           	188402870	1	0	1	1	0	1
recip_rank            	188402870	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_P                 	188402870	0.2000	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	188402870	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	188402870	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
num_ret               	212070400	5	5	5	5	5	5
num_rel               	212070400	1	1	1	1	1	1
num_rel_ret           	212070400	1	1	1	1	1	1
recip_rank            	212070400	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	212070400	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	212070400	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	212070400	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	212070404	5	5	5	5	5	5
num_rel               	212070404	1	1	1	1	1	1
num_rel_ret           	212070404	1	1	1	1	1	1
recip_rank            	212070404	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_P                 	212070404	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	212070404	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	212070404	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	234087209	5	5	5	5	5	5
num_rel               	234087209	1	1	1	1	1	1
num_rel_ret           	234087209	1	0	1	1	0	1
recip_rank            	234087209	1.0000	0.0000	0.5000	1.0000	0.0000	1.0000
set_P                 	234087209	0.2000	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	234087209	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	234087209	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
num_ret               	234087368	5	5	5	5	5	5
num_rel               	234087368	1	1	1	1	1	1
num_rel_ret           	234087368	1	0	1	1	1	1
recip_rank            	234087368	1.0000	0.0000	1.0000	1.0000	0.2500	1.0000
set_P                 	234087368	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	234087368	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	234087368	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	313326615	5	5	5	5	5	5
num_rel               	313326615	1	1	1	1	1	1
num_rel_ret           	313326615	1	0	1	1	1	1
recip_rank            	313326615	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	313326615	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	313326615	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	313326615	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	313326649	5	5	5	5	5	5
num_rel               	313326649	1	1	1	1	1	1
num_rel_ret           	313326649	1	0	1	1	1	1
recip_rank            	313326649	1.0000	0.0000	0.2500	0.5000	0.2500	0.5000
set_P                 	313326649	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	313326649	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	313326649	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	313326676	1	1	1	1	1	1
num_rel               	313326676	1	1	1	1	1	1
num_rel_ret           	313326676	0	0	0	0	0	0
recip_rank            	313326676	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_P                 	313326676	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_recall            	313326676	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_F                 	313326676	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
num_ret               	313326680	5	5	5	5	5	5
num_rel               	313326680	1	1	1	1	1	1
num_rel_ret           	313326680	1	0	1	1	0	0
recip_rank            	313326680	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_P                 	313326680	0.2000	0.0000	0.2000	0.2000	0.0000	0.0000
set_recall            	313326680	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_F                 	313326680	0.3333	0.0000	0.3333	0.3333	0.0000	0.0000
num_ret               	313326707	5	5	5	5	5	5
num_rel               	313326707	1	1	1	1	1	1
num_rel_ret           	313326707	1	0	1	1	1	1
recip_rank            	313326707	1.0000	0.0000	1.0000	1.0000	0.3333	1.0000
set_P                 	313326707	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	313326707	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	313326707	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	313326715	5	5	5	5	5	5
num_rel               	313326715	1	1	1	1	1	1
num_rel_ret           	313326715	1	0	1	1	0	0
recip_rank            	313326715	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_P                 	313326715	0.2000	0.0000	0.2000	0.2000	0.0000	0.0000
set_recall            	313326715	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_F                 	313326715	0.3333	0.0000	0.3333	0.3333	0.0000	0.0000
num_ret               	313326739	3	5	3	3	5	3
num_rel               	313326739	1	1	1	1	1	1
num_rel_ret           	313326739	1	1	1	1	1	1
recip_rank            	313326739	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	313326739	0.3333	0.2000	0.3333	0.3333	0.2000	0.3333
set_recall            	313326739	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	313326739	0.5000	0.3333	0.5000	0.5000	0.3333	0.5000
num_ret               	313326741	5	5	5	5	5	5
