runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
set_P                 	244307158	0.2000	0.2000	0.2000	0.2000	0.0000	0.2000
set_recall            	244307158	0.2500	0.2500	0.2500	0.2500	0.0000	0.2500
set_F                 	244307158	0.2222	0.2222	0.2222	0.2222	0.0000	0.2222
num_ret               	654605541	5	5	5	5	5	5
num_rel               	654605541	3	3	3	3	3	3
num_rel_ret           	654605541	1	1	1	1	0	1
map                   	654605541	0.3333	0.0833	0.3333	0.3333	0.0000	0.3333
ndcg_cut_01            	654605541	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
ndcg_cut_02            	654605541	0.7602	0.0000	0.7602	0.7602	0.0000	0.7602
ndcg_cut_03            	654605541	0.6388	0.0000	0.6388	0.6388	0.0000	0.6388
ndcg_cut_04            	654605541	0.6388	0.2751	0.6388	0.6388	0.0000	0.6388
ndcg_cut_05            	654605541	0.6388	0.2751	0.6388	0.6388	0.0000	0.6388
set_P                 	654605541	0.2000	0.2000	0.2000	0.2000	0.0000	0.2000
set_recall            	654605541	0.3333	0.3333	0.3333	0.3333	0.0000	0.3333
set_F                 	654605541	0.2500	0.2500	0.2500	0.2500	0.0000	0.2500
