runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
ndcg_cut_17           	1058967988	0.6944	0.5739	0.7233	0.7020	0.4541	0.6624
ndcg_cut_18           	1058967988	0.6779	0.5840	0.7060	0.6853	0.4433	0.6466
ndcg_cut_19           	1058967988	0.6623	0.5707	0.7356	0.6925	0.4331	0.6318
ndcg_cut_20           	1058967988	0.6698	0.6021	0.7194	0.6773	0.4236	0.6179
set_P                 	1058967988	0.5000	0.4500	0.5500	0.5000	0.3000	0.4000
set_recall            	1058967988	0.4167	0.3750	0.4583	0.4167	0.2500	0.3333
set_F                 	1058967988	0.4545	0.4091	0.5000	0.4545	0.2727	0.3636
num_ret               	1088443226	20	20	20	20	20	20
num_rel               	1088443226	3	3	3	3	3	3
num_rel_ret           	1088443226	3	3	3	3	2	2
map                   	1088443226	0.8667	0.8333	0.7778	0.8667	0.2778	0.3000
ndcg_cut_01            	1088443226	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
ndcg_cut_02            	1088443226	1.0000	1.0000	1.0000	1.0000	0.3869	0.3869
ndcg_cut_03            	1088443226	0.8671	0.8671	0.8671	0.8671	0.3354	0.3354
ndcg_cut_04            	1088443226	0.8671	0.8671	0.8671	0.8671	0.3354	0.3354
ndcg_cut_05            	1088443226	0.9699	0.8671	0.8671	0.9699	0.3354	0.4383
ndcg_cut_06            	1088443226	0.9699	0.9618	0.8671	0.9699	0.4301	0.4383
ndcg_cut_07            	1088443226	0.9699	0.9618	0.8671	0.9699	0.4301	0.4383
ndcg_cut_08            	1088443226	0.9699	0.9618	0.8671	0.9699	0.4301	0.4383
ndcg_cut_09            	1088443226	0.9699	0.9618	0.9471	0.9699	0.4301	0.4383
ndcg_cut_10           	1088443226	0.9699	0.9618	0.9471	0.9699	0.4301	0.4383
ndcg_cut_11           	1088443226	0.9699	0.9618	0.9471	0.9699	0.4301	0.4383
ndcg_cut_12           	1088443226	0.9699	0.9618	0.9471	0.9699	0.4301	0.4383
ndcg_cut_13           	1088443226	0.9699	0.9618	0.9471	0.9699	0.4301	0.4383
ndcg_cut_14           	1088443226	0.9699	0.9618	0.9471	0.9699	0.4301	0.4383
ndcg_cut_15           	1088443226	0.9699	0.9618	0.9471	0.9699	0.4301	0.4383
ndcg_cut_16           	1088443226	0.9699	0.9618	0.9471	0.9699	0.4301	0.4383
ndcg_cut_17           	1088443226	0.9699	0.9618	0.9471	0.9699	0.4301	0.4383
ndcg_cut_18           	1088443226	0.9699	0.9618	0.9471	0.9699	0.4301	0.4383
ndcg_cut_19           	1088443226	0.9699	0.9618	0.9471	0.9699	0.4301	0.4383
ndcg_cut_20           	1088443226	0.9699	0.9618	0.9471	0.9699	0.4301	0.4383
set_P                 	1088443226	0.1500	0.1500	0.1500	0.1500	0.1000	0.1000
set_recall            	1088443226	1.0000	1.0000	1.0000	1.0000	0.6667	0.6667
set_F                 	1088443226	0.2609	0.2609	0.2609	0.2609	0.1739	0.1739
num_ret               	110809049	20	20	20	20	20	20
num_rel               	110809049	5	5	5	5	5	5
num_rel_ret           	110809049	5	2	4	4	2	4
map                   	110809049	0.8188	0.4000	0.5467	0.5639	0.4000	0.4971
