runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
set_P                 	1422967944	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1422967944	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1422967944	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1422967946	5	5	5	5	5	5
num_rel               	1422967946	1	1	1	1	1	1
num_rel_ret           	1422967946	1	1	1	1	1	1
recip_rank            	1422967946	1.0000	0.5000	0.5000	1.0000	0.5000	1.0000
set_P                 	1422967946	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1422967946	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1422967946	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1422967969	5	5	5	5	5	5
num_rel               	1422967969	1	1	1	1	1	1
num_rel_ret           	1422967969	1	1	1	1	1	1
recip_rank            	1422967969	1.0000	0.5000	0.5000	1.0000	0.3333	1.0000
set_P                 	1422967969	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1422967969	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1422967969	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1422967971	5	5	5	5	5	5
num_rel               	1422967971	1	1	1	1	1	1
num_rel_ret           	1422967971	1	1	1	1	1	1
recip_rank            	1422967971	1.0000	0.3333	0.3333	0.3333	0.3333	0.5000
set_P                 	1422967971	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1422967971	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1422967971	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1422967973	5	5	5	5	5	5
num_rel               	1422967973	1	1	1	1	1	1
num_rel_ret           	1422967973	1	1	1	1	0	1
recip_rank            	1422967973	1.0000	0.2500	1.0000	1.0000	0.0000	1.0000
set_P                 	1422967973	0.2000	0.2000	0.2000	0.2000	0.0000	0.2000
set_recall            	1422967973	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	1422967973	0.3333	0.3333	0.3333	0.3333	0.0000	0.3333
num_ret               	1632447411	5	5	5	5	5	5
num_rel               	1632447411	1	1	1	1	1	1
num_rel_ret           	1632447411	1	1	1	1	1	1
recip_rank            	1632447411	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	1632447411	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1632447411	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1632447411	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1632447415	5	5	5	5	5	5
num_rel               	1632447415	1	1	1	1	1	1
num_rel_ret           	1632447415	1	1	1	1	1	1
recip_rank            	1632447415	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	1632447415	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1632447415	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1632447415	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1795077042	5	5	5	5	5	5
num_rel               	1795077042	1	1	1	1	1	1
num_rel_ret           	1795077042	1	1	1	1	1	1
recip_rank            	1795077042	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	1795077042	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1795077042	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1795077042	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1814089341	5	5	5	5	5	5
num_rel               	1814089341	1	1	1	1	1	1
num_rel_ret           	1814089341	1	1	1	1	1	1
recip_rank            	1814089341	0.5000	0.3333	0.5000	1.0000	0.3333	0.5000
set_P                 	1814089341	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1814089341	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1814089341	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1814089344	5	5	5	5	5	5
num_rel               	1814089344	1	1	1	1	1	1
num_rel_ret           	1814089344	1	1	1	1	1	1
